Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,date,day,month,year,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00001,2,0,1,2,Meal Plan 1,Room_Type 1,224,10/2/2017,10,02,2017,2017/02/10,Offline,65,Not_Canceled
INN00002,2,0,2,3,Not Selected,Room_Type 1,5,11/6/2018,11,06,2018,2018/06/11,Online,106.68,Not_Canceled
INN00003,1,0,2,1,Meal Plan 1,Room_Type 1,1,28-02-2018,28,02,2018,2018/02/28,Online,60,Canceled
INN00004,2,0,0,2,Meal Plan 1,Room_Type 1,211,20-05-2018,20,05,2018,2018/05/20,Online,100,Canceled
INN00005,2,0,1,1,Not Selected,Room_Type 1,48,4/11/2018,4,11,2018,2018/11/04,Online,94.5,Canceled
INN00006,2,0,0,2,Meal Plan 2,Room_Type 1,346,13-09-2018,13,09,2018,2018/09/13,Online,115,Canceled
INN00007,2,0,1,3,Meal Plan 1,Room_Type 1,34,15-10-2017,15,10,2017,2017/10/15,Online,107.55,Not_Canceled
INN00008,2,0,1,3,Meal Plan 1,Room_Type 4,83,26-12-2018,26,12,2018,2018/12/26,Online,105.61,Not_Canceled
INN00009,3,0,0,4,Meal Plan 1,Room_Type 1,121,7/6/2018,7,06,2018,2018/06/07,Offline,96.9,Not_Canceled
INN00010,2,0,0,5,Meal Plan 1,Room_Type 4,44,18-10-2018,18,10,2018,2018/10/18,Online,133.44,Not_Canceled
INN00011,1,0,1,0,Not Selected,Room_Type 1,0,9/11/2018,9,11,2018,2018/11/09,Online,85.03,Not_Canceled
INN00012,1,0,2,1,Meal Plan 1,Room_Type 4,35,30-04-2018,30,04,2018,2018/04/30,Online,140.4,Not_Canceled
INN00013,2,0,2,1,Not Selected,Room_Type 1,30,26-11-2018,26,11,2018,2018/11/26,Online,88,Canceled
INN00014,1,0,2,0,Meal Plan 1,Room_Type 1,95,20-11-2018,20,11,2018,2018/11/20,Online,90,Canceled
INN00015,2,0,0,2,Meal Plan 1,Room_Type 1,47,20-10-2017,20,10,2017,2017/10/20,Online,94.5,Not_Canceled
INN00016,2,0,0,2,Meal Plan 2,Room_Type 1,256,15-06-2018,15,06,2018,2018/06/15,Online,115,Canceled
INN00017,1,0,1,0,Meal Plan 1,Room_Type 1,0,10/5/2017,10,05,2017,2017/05/10,Offline,96,Not_Canceled
INN00018,2,0,1,3,Not Selected,Room_Type 1,1,8/10/2017,8,10,2017,2017/10/08,Online,96,Not_Canceled
INN00019,2,0,2,2,Meal Plan 1,Room_Type 1,99,30-10-2017,30,10,2017,2017/10/30,Online,65,Canceled
INN00020,2,0,1,0,Meal Plan 1,Room_Type 1,12,10/4/2017,10,04,2017,2017/04/10,Offline,72,Not_Canceled
INN00021,2,0,2,2,Meal Plan 1,Room_Type 1,99,30-10-2017,30,10,2017,2017/10/30,Online,65,Canceled
